;deputado_id;deputado_nome;deputado_siglaPartido;Cluster;income;freq
174;204515;André Janones;AVANTE;2;2293449-187;0.0
1425;204476;Chiquinho Brazão;AVANTE;0;531331-317;1.0
1787;197438;Tito;AVANTE;1;2166595-59;1.0
1440;204515;André Janones;AVANTE;2;531331-317;0.0
1636;204476;Chiquinho Brazão;AVANTE;0;531331-284;0.0
521;197438;Tito;AVANTE;1;2275537-102;1.0
1862;204515;André Janones;AVANTE;2;2166595-59;1.0
732;197438;Tito;AVANTE;1;2165194-130;1.0
1003;204476;Chiquinho Brazão;AVANTE;0;2210757-104;0.0
792;204476;Chiquinho Brazão;AVANTE;0;2165194-130;1.0
1651;204515;André Janones;AVANTE;2;531331-284;1.0
310;197438;Tito;AVANTE;1;2275537-117;1.0
1018;204515;André Janones;AVANTE;2;2210757-104;1.0
1576;197438;Tito;AVANTE;1;531331-284;0.0
581;204476;Chiquinho Brazão;AVANTE;0;2275537-102;0.0
943;197438;Tito;AVANTE;1;2210757-104;1.0
99;197438;Tito;AVANTE;1;2293449-187;1.0
1154;197438;Tito;AVANTE;1;2210757-93;1.0
807;204515;André Janones;AVANTE;2;2165194-130;1.0
370;204476;Chiquinho Brazão;AVANTE;0;2275537-117;0.0
385;204515;André Janones;AVANTE;2;2275537-117;1.0
596;204515;André Janones;AVANTE;2;2275537-102;1.0
159;204476;Chiquinho Brazão;AVANTE;0;2293449-187;1.0
1214;204476;Chiquinho Brazão;AVANTE;0;2210757-93;1.0
1847;204476;Chiquinho Brazão;AVANTE;0;2166595-59;1.0
1365;197438;Tito;AVANTE;1;531331-317;1.0
1229;204515;André Janones;AVANTE;2;2210757-93;1.0
1340;178916;Daniel Coelho;CIDADANIA;1;531331-317;0.0
523;204355;Da Vitória;CIDADANIA;1;2275537-102;0.0
285;178916;Daniel Coelho;CIDADANIA;1;2275537-117;1.0
496;178916;Daniel Coelho;CIDADANIA;1;2275537-102;1.0
1592;204377;Paula Belmonte;CIDADANIA;2;531331-284;1.0
272;164360;Carmen Zanotto;CIDADANIA;1;2275537-117;1.0
509;178972;Alex Manente;CIDADANIA;0;2275537-102;0.0
1058;73466;Rubens Bueno;CIDADANIA;1;2210757-93;1.0
74;178916;Daniel Coelho;CIDADANIA;1;2293449-187;1.0
1803;204377;Paula Belmonte;CIDADANIA;2;2166595-59;1.0
1353;178972;Alex Manente;CIDADANIA;0;531331-317;0.0
748;204377;Paula Belmonte;CIDADANIA;2;2165194-130;1.0
537;204377;Paula Belmonte;CIDADANIA;2;2275537-102;1.0
636;73466;Rubens Bueno;CIDADANIA;1;2165194-130;1.0
1170;204377;Paula Belmonte;CIDADANIA;2;2210757-93;1.0
1691;73466;Rubens Bueno;CIDADANIA;1;2166595-59;1.0
1156;204355;Da Vitória;CIDADANIA;1;2210757-93;1.0
214;73466;Rubens Bueno;CIDADANIA;1;2275537-117;1.0
1269;73466;Rubens Bueno;CIDADANIA;1;531331-317;0.0
694;164360;Carmen Zanotto;CIDADANIA;1;2165194-130;1.0
1142;178972;Alex Manente;CIDADANIA;0;2210757-93;1.0
1749;164360;Carmen Zanotto;CIDADANIA;1;2166595-59;1.0
101;204355;Da Vitória;CIDADANIA;1;2293449-187;1.0
707;178916;Daniel Coelho;CIDADANIA;1;2165194-130;1.0
1762;178916;Daniel Coelho;CIDADANIA;1;2166595-59;1.0
1129;178916;Daniel Coelho;CIDADANIA;1;2210757-93;1.0
734;204355;Da Vitória;CIDADANIA;1;2165194-130;1.0
1116;164360;Carmen Zanotto;CIDADANIA;1;2210757-93;1.0
1775;178972;Alex Manente;CIDADANIA;0;2166595-59;1.0
115;204377;Paula Belmonte;CIDADANIA;2;2293449-187;0.0
1367;204355;Da Vitória;CIDADANIA;1;531331-317;0.0
1789;204355;Da Vitória;CIDADANIA;1;2166595-59;1.0
1327;164360;Carmen Zanotto;CIDADANIA;1;531331-317;0.0
720;178972;Alex Manente;CIDADANIA;0;2165194-130;1.0
483;164360;Carmen Zanotto;CIDADANIA;1;2275537-102;1.0
87;178972;Alex Manente;CIDADANIA;0;2293449-187;1.0
959;204377;Paula Belmonte;CIDADANIA;2;2210757-104;1.0
61;164360;Carmen Zanotto;CIDADANIA;1;2293449-187;1.0
312;204355;Da Vitória;CIDADANIA;1;2275537-117;1.0
1551;178916;Daniel Coelho;CIDADANIA;1;531331-284;0.0
425;73466;Rubens Bueno;CIDADANIA;1;2275537-102;1.0
847;73466;Rubens Bueno;CIDADANIA;1;2210757-104;1.0
1538;164360;Carmen Zanotto;CIDADANIA;1;531331-284;0.0
1564;178972;Alex Manente;CIDADANIA;0;531331-284;0.0
945;204355;Da Vitória;CIDADANIA;1;2210757-104;1.0
298;178972;Alex Manente;CIDADANIA;0;2275537-117;0.0
1480;73466;Rubens Bueno;CIDADANIA;1;531331-284;0.0
931;178972;Alex Manente;CIDADANIA;0;2210757-104;1.0
326;204377;Paula Belmonte;CIDADANIA;2;2275537-117;1.0
1578;204355;Da Vitória;CIDADANIA;1;531331-284;0.0
3;73466;Rubens Bueno;CIDADANIA;1;2293449-187;1.0
918;178916;Daniel Coelho;CIDADANIA;1;2210757-104;1.0
1381;204377;Paula Belmonte;CIDADANIA;2;531331-317;0.0
905;164360;Carmen Zanotto;CIDADANIA;1;2210757-104;1.0
541;204386;Jose Mario Schreiner;DEM;1;2275537-102;1.0
963;204386;Jose Mario Schreiner;DEM;1;2210757-104;1.0
119;204386;Jose Mario Schreiner;DEM;1;2293449-187;1.0
330;204386;Jose Mario Schreiner;DEM;1;2275537-117;1.0
554;204412;Dr. Zacharias Calil;DEM;1;2275537-102;1.0
1644;204498;Olival Marques;DEM;0;531331-284;0.0
1187;204412;Dr. Zacharias Calil;DEM;1;2210757-93;1.0
1119;178836;Alan Rick;DEM;1;2210757-93;1.0
908;178836;Alan Rick;DEM;1;2210757-104;1.0
167;204498;Olival Marques;DEM;0;2293449-187;1.0
1127;178909;Hélio Leite;DEM;1;2210757-93;1.0
1110;160639;Professora Dorinha Seabra Rezende;DEM;0;2210757-93;1.0
1321;160639;Professora Dorinha Seabra Rezende;DEM;0;531331-317;1.0
1549;178909;Hélio Leite;DEM;1;531331-284;0.0
132;204412;Dr. Zacharias Calil;DEM;1;2293449-187;1.0
1541;178836;Alan Rick;DEM;1;531331-284;0.0
1760;178909;Hélio Leite;DEM;1;2166595-59;1.0
705;178909;Hélio Leite;DEM;1;2165194-130;1.0
1174;204386;Jose Mario Schreiner;DEM;1;2210757-93;1.0
378;204498;Olival Marques;DEM;0;2275537-117;0.0
343;204412;Dr. Zacharias Calil;DEM;1;2275537-117;0.0
697;178836;Alan Rick;DEM;1;2165194-130;1.0
1743;160639;Professora Dorinha Seabra Rezende;DEM;0;2166595-59;1.0
688;160639;Professora Dorinha Seabra Rezende;DEM;0;2165194-130;1.0
1532;160639;Professora Dorinha Seabra Rezende;DEM;0;531331-284;0.0
589;204498;Olival Marques;DEM;0;2275537-102;0.0
1222;204498;Olival Marques;DEM;0;2210757-93;1.0
899;160639;Professora Dorinha Seabra Rezende;DEM;0;2210757-104;1.0
1752;178836;Alan Rick;DEM;1;2166595-59;1.0
916;178909;Hélio Leite;DEM;1;2210757-104;1.0
266;160639;Professora Dorinha Seabra Rezende;DEM;0;2275537-117;0.0
55;160639;Professora Dorinha Seabra Rezende;DEM;0;2293449-187;1.0
1855;204498;Olival Marques;DEM;0;2166595-59;1.0
1385;204386;Jose Mario Schreiner;DEM;1;531331-317;1.0
72;178909;Hélio Leite;DEM;1;2293449-187;1.0
275;178836;Alan Rick;DEM;1;2275537-117;1.0
1807;204386;Jose Mario Schreiner;DEM;1;2166595-59;1.0
1820;204412;Dr. Zacharias Calil;DEM;1;2166595-59;1.0
1609;204412;Dr. Zacharias Calil;DEM;1;531331-284;0.0
1596;204386;Jose Mario Schreiner;DEM;1;531331-284;0.0
1398;204412;Dr. Zacharias Calil;DEM;1;531331-317;1.0
765;204412;Dr. Zacharias Calil;DEM;1;2165194-130;1.0
283;178909;Hélio Leite;DEM;1;2275537-117;1.0
477;160639;Professora Dorinha Seabra Rezende;DEM;0;2275537-102;0.0
1338;178909;Hélio Leite;DEM;1;531331-317;1.0
1330;178836;Alan Rick;DEM;1;531331-317;1.0
800;204498;Olival Marques;DEM;0;2165194-130;1.0
976;204412;Dr. Zacharias Calil;DEM;1;2210757-104;1.0
1011;204498;Olival Marques;DEM;0;2210757-104;1.0
486;178836;Alan Rick;DEM;1;2275537-102;1.0
64;178836;Alan Rick;DEM;1;2293449-187;1.0
1433;204498;Olival Marques;DEM;0;531331-317;1.0
752;204386;Jose Mario Schreiner;DEM;1;2165194-130;1.0
494;178909;Hélio Leite;DEM;1;2275537-102;1.0
1355;178981;Herculano Passos;MDB;1;531331-317;1.0
1362;178996;Giovani Feltes;MDB;1;531331-317;0.0
1523;160559;Alceu Moreira;MDB;1;531331-284;0.0
1635;204474;Juarez Costa;MDB;0;531331-284;0.0
1241;204539;Hercílio Coelho Diniz;MDB;0;2210757-93;1.0
1512;141523;Raul Henry;MDB;1;531331-284;0.0
1483;73692;Osmar Terra;MDB;1;531331-284;0.0
1694;73692;Osmar Terra;MDB;1;2166595-59;1.0
639;73692;Osmar Terra;MDB;1;2165194-130;1.0
479;160651;Rogério Peninha Mendonça;MDB;0;2275537-102;0.0
186;204539;Hercílio Coelho Diniz;MDB;0;2293449-187;1.0
608;204539;Hercílio Coelho Diniz;MDB;0;2275537-102;0.0
217;73692;Osmar Terra;MDB;1;2275537-117;1.0
580;204474;Juarez Costa;MDB;0;2275537-102;0.0
397;204539;Hercílio Coelho Diniz;MDB;0;2275537-117;0.0
1566;178981;Herculano Passos;MDB;1;531331-284;0.0
1329;171623;Fabio Reis;MDB;0;531331-317;1.0
428;73692;Osmar Terra;MDB;1;2275537-102;1.0
1323;160651;Rogério Peninha Mendonça;MDB;0;531331-317;0.0
257;160559;Alceu Moreira;MDB;1;2275537-117;0.0
1424;204474;Juarez Costa;MDB;0;531331-317;1.0
246;141523;Raul Henry;MDB;1;2275537-117;1.0
307;178996;Giovani Feltes;MDB;1;2275537-117;0.0
1573;178996;Giovani Feltes;MDB;1;531331-284;0.0
457;141523;Raul Henry;MDB;1;2275537-102;1.0
