;deputado_id;deputado_nome;deputado_siglaPartido;2293449-187;2275537-117;2275537-102;2165194-130;2210757-104;2210757-93;531331-317;531331-284;2166595-59;Cluster
0;62881;Danilo Forte;PSDB;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
1;66828;Fausto Pinato;PP;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
2;73433;Arlindo Chinaglia;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
3;73466;Rubens Bueno;CIDADANIA;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1
4;73482;Henrique Fontana;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
5;73486;Pompeo de Mattos;PDT;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2
6;73692;Osmar Terra;MDB;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
7;73696;Angela Amin;PP;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
8;73701;Benedita da Silva;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
9;73943;Perpétua Almeida;PCdoB;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
10;74052;Bosco Costa;PL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
11;74057;Alice Portugal;PCdoB;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
12;74060;Daniel Almeida;PCdoB;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
13;74160;Patrus Ananias;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
14;74253;Julio Lopes;PP;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
15;74262;Carlos Sampaio;PSDB;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2
16;74283;Vicentinho;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
17;74366;João Campos;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
18;74376;Vander Loubet;PT;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0
19;74419;Gonzaga Patriota;PSB;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
20;74459;Átila Lira;PP;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.5;1.0;0
21;74848;Jandira Feghali;PCdoB;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
22;75431;Maurício Dziedricki;PTB;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0
23;76874;Marcelo Freixo;PSB;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
24;81297;Dra. Soraya Manato;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
25;109429;Benes Leocádio;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
26;115746;Gelson Azevedo;PL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
27;116379;Darci de Matos;PSD;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
28;132504;Enio Verri;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
29;133968;Paulo Ramos;PDT;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;2
30;135054;Cristiano Vale;PL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
